# time joint1 joint2 joint3 joint4 joint5 joint6 joint7 drive_joint left_finger_joint left_inner_knuckle_joint right_outer_knuckle_joint right_finger_joint right_inner_knuckle_joint
0.565000 -0.02460298 -0.35704991 -0.01795509 -0.06824408 0.00767997 0.00285553 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.570000 -0.02481664 -0.35967488 -0.01806654 -0.06847943 0.00773545 0.00274616 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.575000 -0.02502994 -0.36229082 -0.01817724 -0.06870887 0.00779066 0.00263441 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.580000 -0.02524287 -0.36489776 -0.01828719 -0.06893240 0.00784561 0.00252029 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.585000 -0.02545543 -0.36749569 -0.01839640 -0.06915005 0.00790029 0.00240381 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.590000 -0.02566761 -0.37008462 -0.01850487 -0.06936182 0.00795470 0.00228496 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.595000 -0.02587940 -0.37266455 -0.01861260 -0.06956772 0.00800885 0.00216374 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.600000 -0.02609080 -0.37523549 -0.01871960 -0.06976778 0.00806273 0.00204015 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.605000 -0.02630180 -0.37779744 -0.01882588 -0.06996200 0.00811634 0.00191421 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.610000 -0.02651241 -0.38035041 -0.01893144 -0.07015040 0.00816969 0.00178590 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.615000 -0.02672260 -0.38289441 -0.01903628 -0.07033298 0.00822277 0.00165524 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.620000 -0.02693238 -0.38542943 -0.01914040 -0.07050977 0.00827558 0.00152222 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.625000 -0.02714175 -0.38795549 -0.01924381 -0.07068078 0.00832813 0.00138685 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.630000 -0.02735070 -0.39047259 -0.01934652 -0.07084601 0.00838041 0.00124912 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.635000 -0.02755921 -0.39298074 -0.01944853 -0.07100548 0.00843243 0.00110905 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.640000 -0.02776730 -0.39547995 -0.01954984 -0.07115921 0.00848418 0.00096663 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.645000 -0.02797495 -0.39797021 -0.01965046 -0.07130721 0.00853567 0.00082186 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.650000 -0.02818216 -0.40045154 -0.01975039 -0.07144948 0.00858689 0.00067476 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.655000 -0.02838892 -0.40292395 -0.01984964 -0.07158605 0.00863784 0.00052532 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.660000 -0.02859524 -0.40538743 -0.01994821 -0.07171693 0.00868853 0.00037354 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.665000 -0.02880110 -0.40784200 -0.02004610 -0.07184212 0.00873896 0.00021943 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.670000 -0.02900650 -0.41028767 -0.02014333 -0.07196164 0.00878912 0.00006298 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.675000 -0.02921144 -0.41272443 -0.02023989 -0.07207551 0.00883902 -0.00009578 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.680000 -0.02941592 -0.41515231 -0.02033578 -0.07218374 0.00888865 -0.00025687 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.685000 -0.02961992 -0.41757130 -0.02043102 -0.07228634 0.00893802 -0.00042028 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.690000 -0.02982345 -0.41998141 -0.02052561 -0.07238332 0.00898713 -0.00058601 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.695000 -0.03002651 -0.42238266 -0.02061955 -0.07247469 0.00903598 -0.00075405 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.700000 -0.03022908 -0.42477504 -0.02071285 -0.07256047 0.00908457 -0.00092440 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.705000 -0.03043117 -0.42715856 -0.02080551 -0.07264068 0.00913289 -0.00109706 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.710000 -0.03063277 -0.42953324 -0.02089753 -0.07271531 0.00918095 -0.00127202 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.715000 -0.03083388 -0.43189908 -0.02098893 -0.07278439 0.00922876 -0.00144927 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.720000 -0.03103449 -0.43425609 -0.02107970 -0.07284793 0.00927630 -0.00162883 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.725000 -0.03123460 -0.43660428 -0.02116985 -0.07290594 0.00932359 -0.00181067 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.730000 -0.03143422 -0.43894365 -0.02125938 -0.07295843 0.00937061 -0.00199480 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.735000 -0.03163333 -0.44127421 -0.02134830 -0.07300542 0.00941738 -0.00218121 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.740000 -0.03183193 -0.44359597 -0.02143661 -0.07304691 0.00946389 -0.00236991 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.745000 -0.03203002 -0.44590894 -0.02152433 -0.07308293 0.00951015 -0.00256087 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.750000 -0.03222760 -0.44821313 -0.02161144 -0.07311347 0.00955615 -0.00275411 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.755000 -0.03242466 -0.45050854 -0.02169796 -0.07313856 0.00960189 -0.00294961 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.760000 -0.03262120 -0.45279519 -0.02178389 -0.07315820 0.00964738 -0.00314737 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.765000 -0.03281722 -0.45507307 -0.02186924 -0.07317241 0.00969262 -0.00334739 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.770000 -0.03301272 -0.45734221 -0.02195401 -0.07318120 0.00973760 -0.00354967 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.775000 -0.03320769 -0.45960261 -0.02203820 -0.07318459 0.00978233 -0.00375419 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
