# time panda_joint1 panda_joint2 panda_joint3 panda_joint4 panda_joint5 panda_joint6 panda_joint7 panda_finger_joint1 panda_finger_joint2
0.440000 -0.00997754 -0.38782507 -0.01351764 -2.02884866 0.00132652 3.05639967 0.74100000 0.04000000 0.04000000
0.445000 -0.01008246 -0.38572103 -0.01365790 -2.02776951 0.00134047 3.05665310 0.74100000 0.04000000 0.04000000
0.450000 -0.01018725 -0.38361562 -0.01379790 -2.02668662 0.00135439 3.05690723 0.74100000 0.04000000 0.04000000
0.455000 -0.01029191 -0.38150887 -0.01393764 -2.02559998 0.00136830 3.05716206 0.74100000 0.04000000 0.04000000
0.460000 -0.01039644 -0.37940077 -0.01407712 -2.02450960 0.00138218 3.05741758 0.74100000 0.04000000 0.04000000
0.465000 -0.01050085 -0.37729133 -0.01421634 -2.02341546 0.00139605 3.05767380 0.74100000 0.04000000 0.04000000
0.470000 -0.01060512 -0.37518055 -0.01435530 -2.02231758 0.00140989 3.05793070 0.74100000 0.04000000 0.04000000
0.475000 -0.01070927 -0.37306844 -0.01449401 -2.02121595 0.00142371 3.05818829 0.74100000 0.04000000 0.04000000
0.480000 -0.01081329 -0.37095501 -0.01463245 -2.02011057 0.00143750 3.05844656 0.74100000 0.04000000 0.04000000
0.485000 -0.01091719 -0.36884025 -0.01477062 -2.01900144 0.00145128 3.05870552 0.74100000 0.04000000 0.04000000
0.490000 -0.01102097 -0.36672417 -0.01490854 -2.01788856 0.00146503 3.05896514 0.74100000 0.04000000 0.04000000
0.495000 -0.01112462 -0.36460678 -0.01504620 -2.01677191 0.00147877 3.05922545 0.74100000 0.04000000 0.04000000
0.500000 -0.01122816 -0.36248808 -0.01518360 -2.01565152 0.00149248 3.05948642 0.74100000 0.04000000 0.04000000
0.505000 -0.01133157 -0.36036808 -0.01532073 -2.01452736 0.00150617 3.05974806 0.74100000 0.04000000 0.04000000
0.510000 -0.01143487 -0.35824678 -0.01545761 -2.01339945 0.00151983 3.06001036 0.74100000 0.04000000 0.04000000
0.515000 -0.01153805 -0.35612418 -0.01559422 -2.01226777 0.00153348 3.06027332 0.74100000 0.04000000 0.04000000
0.520000 -0.01164111 -0.35400029 -0.01573057 -2.01113234 0.00154710 3.06053694 0.74100000 0.04000000 0.04000000
0.525000 -0.01174405 -0.35187512 -0.01586666 -2.00999314 0.00156071 3.06080122 0.74100000 0.04000000 0.04000000
0.530000 -0.01184689 -0.34974866 -0.01600249 -2.00885017 0.00157429 3.06106615 0.74100000 0.04000000 0.04000000
0.535000 -0.01194961 -0.34762093 -0.01613806 -2.00770344 0.00158785 3.06133172 0.74100000 0.04000000 0.04000000
0.540000 -0.01205221 -0.34549192 -0.01627336 -2.00655294 0.00160138 3.06159794 0.74100000 0.04000000 0.04000000
0.545000 -0.01215471 -0.34336165 -0.01640841 -2.00539867 0.00161490 3.06186480 0.74100000 0.04000000 0.04000000
0.550000 -0.01225710 -0.34123011 -0.01654318 -2.00424063 0.00162839 3.06213230 0.74100000 0.04000000 0.04000000
0.555000 -0.01235938 -0.33909731 -0.01667770 -2.00307882 0.00164186 3.06240044 0.74100000 0.04000000 0.04000000
0.560000 -0.01246155 -0.33696325 -0.01681196 -2.00191323 0.00165531 3.06266921 0.74100000 0.04000000 0.04000000
0.565000 -0.01256361 -0.33482795 -0.01694595 -2.00074387 0.00166874 3.06293860 0.74100000 0.04000000 0.04000000
0.570000 -0.01266557 -0.33269139 -0.01707967 -1.99957072 0.00168215 3.06320863 0.74100000 0.04000000 0.04000000
0.575000 -0.01276743 -0.33055359 -0.01721314 -1.99839380 0.00169553 3.06347927 0.74100000 0.04000000 0.04000000
0.580000 -0.01286918 -0.32841456 -0.01734634 -1.99721310 0.00170889 3.06375053 0.74100000 0.04000000 0.04000000
0.585000 -0.01297084 -0.32627428 -0.01747928 -1.99602861 0.00172223 3.06402241 0.74100000 0.04000000 0.04000000
0.590000 -0.01307239 -0.32413278 -0.01761195 -1.99484034 0.00173555 3.06429490 0.74100000 0.04000000 0.04000000
0.595000 -0.01317384 -0.32199005 -0.01774436 -1.99364828 0.00174884 3.06456800 0.74100000 0.04000000 0.04000000
0.600000 -0.01327520 -0.31984609 -0.01787651 -1.99245244 0.00176212 3.06484171 0.74100000 0.04000000 0.04000000
0.605000 -0.01337646 -0.31770092 -0.01800839 -1.99125280 0.00177537 3.06511602 0.74100000 0.04000000 0.04000000
0.610000 -0.01347762 -0.31555453 -0.01814000 -1.99004937 0.00178860 3.06539093 0.74100000 0.04000000 0.04000000
0.615000 -0.01357869 -0.31340693 -0.01827135 -1.98884215 0.00180180 3.06566643 0.74100000 0.04000000 0.04000000
0.620000 -0.01367966 -0.31125813 -0.01840244 -1.98763113 0.00181499 3.06594253 0.74100000 0.04000000 0.04000000
0.625000 -0.01378055 -0.30910812 -0.01853326 -1.98641631 0.00182815 3.06621922 0.74100000 0.04000000 0.04000000
0.630000 -0.01388134 -0.30695691 -0.01866382 -1.98519769 0.00184129 3.06649649 0.74100000 0.04000000 0.04000000
0.635000 -0.01398204 -0.30480450 -0.01879411 -1.98397527 0.00185441 3.06677434 0.74100000 0.04000000 0.04000000
0.640000 -0.01408266 -0.30265090 -0.01892413 -1.98274905 0.00186750 3.06705278 0.74100000 0.04000000 0.04000000
